sample,rep,place,spp,site,month,year,totC,C13,totN,weight_pr,A595,ml_pr,ug/mL_pr,ug/gfw_pr,area,wet_wt,dry_wt,SLA,LMA,mMol_gfw_no3,mgNO3,mg.gfw_no3
Pa82a5,5,19,Pa,82a,12,2013,43.35763296,-26.77504303,1.970664062,,,,,,,,,,#DIV/0!,,,
Cl82a4,4,18,Cl,82a,12,2013,45.43735981,-28.29740629,1.6845773,,,,,,,,,,#DIV/0!,,,
Cs82a4,4,18,Cs,82a,12,2013,48.80353082,-27.19322609,1.671076476,,,,,,,,,,#DIV/0!,,,
Cs82A4,4,18,Cs,82a,12,2013,48.56199531,-28.0502995,1.494658427,,,,,,,,,,#DIV/0!,,,
Pa82a4,4,18,Pa,82a,12,2013,42.32554067,-28.39647933,2.157565375,,,,,,,,,,#DIV/0!,,,
Cl82a3,3,17,Cl,82a,12,2013,48.43976473,-27.54446911,2.185931112,,,,,,,,,,#DIV/0!,,,
Pa82a3,3,17,Pa,82a,12,2013,46.29884391,-27.90456203,3.13091104,,,,,,,,,,#DIV/0!,,,
Pa82a2,2,16,Pa,82a,12,2013,41.02960064,-27.96730254,2.655529372,,,,,,,,,,#DIV/0!,,,
Cs82a1,1,15,Cs,82a,12,2013,48.21943151,-28.5066671,2.48150836,,,,,,,,,,#DIV/0!,,,
Pa82a1,1,15,Pa,82a,12,2013,43.24659747,-27.06946533,2.971020115,,,,,,,,,,#DIV/0!,,,
